first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Tyreek,Hill,WR,,6,2023-10-15,,MIA,CAR,-14.5,47.5,31,9300,5,10.2,28.3,47.5,24.1,2.59
Tua,Tagovailoa,QB,,6,2023-10-15,,MIA,CAR,-14.5,47.5,31,7600,8,13.3,22.7,32.1,23.2,3.05
Jalen,Hurts,QB,,6,2023-10-15,,PHI,NYJ,-6.5,42.5,24.5,8200,14,13.5,24.0,31.3,22.5,2.74
Cooper,Kupp,WR,,6,2023-10-15,,LAR,ARI,-6.5,47.5,27,9000,25,2.9,19.0,29.8,22.5,2.50
Ja'Marr,Chase,WR,,6,2023-10-15,,CIN,SEA,-2.5,44.5,23.5,8300,32,8.1,23.2,55.2,21.8,2.63
Christian,McCaffrey,RB,,6,2023-10-15,,SF,CLE,-9.5,36,22.8,9500,4,14.8,28.8,51.7,21.6,2.27
Justin,Fields,QB,,6,2023-10-15,,CHI,MIN,+3,44,20.5,7300,22,11.7,22.2,33.0,20.7,2.84
Matthew,Stafford,QB,,6,2023-10-15,,LAR,ARI,-6.5,47.5,27,6100,28,13.5,17.4,20.2,20.6,3.38
Davante,Adams,WR,Q,6,2023-10-15,,LV,NE,-3,41.5,22.3,8100,13,8.5,20.4,45.2,20.5,2.53
Joe,Burrow,QB,,6,2023-10-15,,CIN,SEA,-2.5,44.5,23.5,6300,23,3.2,12.4,27.4,20.4,3.24
Trevor,Lawrence,QB,,6,2023-10-15,,JAX,IND,-3.5,44,23.8,6500,26,10.2,16.3,20.7,19.9,3.06
Kirk,Cousins,QB,,6,2023-10-15,,MIN,CHI,-3,44,23.5,7100,32,11.6,23.2,32.6,18.9,2.66
Raheem,Mostert,RB,,6,2023-10-15,,MIA,CAR,-14.5,47.5,31,6400,31,6.5,21.8,45.2,18.6,2.91
